author_2,B,s_B,n_B,AB,s_AB,n_AB,co2_level,C,s_C,n_C,A,s_A,n_A,log_AB,log_A,log_B,log_C,lnRR_interaction,sampling_variance_interaction,lnRR_overall_CO2,sampling_variance_overall_CO2,lnRR_overall_food,sampling_variance_overall_food
Cole,292.6901,3.1512,3,274.9513,2.7573,3,1,274.9513,1.1817,3,274.9513,1.5756,3,5.6165939910750335,5.6165939910750335,5.679114370098839,5.6165939910750335,-0.06252037902380536,8.926367817255148e-5,-0.03174870968022958,2.2834368873566375e-5,0.03174870968022958,2.241346793375046e-5
Comeau,8.774648,2.41498868,6,9.56338,5.554477638,6,1,3.992958,1.207495565,6,4.190141,1.931990944,6,2.2579412210622993,1.4327343849191583,2.171866654587229,1.3845323096185527,0.037872491174464784,0.1195215232557641,0.07438368222349556,0.03792604977986097,0.8069060067860736,0.03110043464296073
Crook,81.03448,43.4105433,23,78.87931,37.20903917,23,1,8.62069,7.540021388,34,7.758621,5.314150215,38,4.3679189627916175,2.0488046122179453,4.394874743109177,2.1541651278757716,0.07840473534026726,0.05699784686061953,-0.03423314511717468,0.018519869083602043,2.278615843474042,0.014560702521384496
Crook,81.03448,43.4105433,23,84.91379,26.28250081,22,2,8.62069,7.540021388,34,8.189655,6.963572768,29,4.441636506511546,2.10287177243559,4.394874743109177,2.1541651278757716,0.09805511884255136,0.06426273997400485,0.0377403197207391,0.01421641503069456,2.2896816425770523,0.01594967632162924
Drenkard,1072.63793,52.883393558,3,1037.336205,40.0614397105,3,1,698.152415,23.092418438000003,3,666.90517,38.8758803745,3,6.944411364942536,6.5026478618949115,6.977876248593728,6.548437438524239,0.012324692978135765,0.002804765534730319,-0.038305899152326184,7.116214880027519e-4,0.4354790745587316,6.953079438220311e-4
Edmunds,6.047431,2.174846974,10,5.667984,4.199703956,10,1,3.913043,1.799873576,10,5.146245,0.449966813,10,1.7348334989592415,1.638267322520257,1.7996335537635355,1.3643153321788857,-0.33875204514566537,0.08975600584147064,0.08223810616303728,0.02328756806145655,0.25711496623126306,0.020490734245578696
Hettinger,2.122475017,0.096019647,5,1.9655045999999998,0.06991625550000001,5,1,1.5769656749999998,0.100491783,5,1.4738826639999998,0.326993192,5,0.675749006248446,0.38790018679940824,0.7525828685804995,0.45550254173260407,-0.009231507398857641,0.011318786357302307,-0.07288830930971901,0.0021727364834451175,0.292631170953328,0.002683393154284871
Melzner,18.650000000000002,14.2,4,21.85,15.65,4,1,3.1,3.1999999999999997,4,4.25,4.9,4,3.084200921541599,1.4469189829363254,2.9258461460898246,1.1314021114911006,-0.15716209599345032,0.8718902528751735,0.18232155679395445,0.21066914020639738,1.7066016608877481,0.22656195000419288
Melzner,18.650000000000002,14.2,4,16.15,7.6000000000000005,4,2,3.1,3.1999999999999997,4,9.25,8.200000000000001,4,2.7819200496686656,2.224623551524334,2.9258461460898246,1.1314021114911006,-1.2371475364543925,0.6631473170128903,0.15513541648979734,0.16041011636257646,1.0359613237064424,0.18054667180555276
Melzner,18.650000000000002,14.2,4,19.15,6.3,4,3,3.1,3.1999999999999997,4,4.55,8.7,4,2.952302715626655,1.5151272329628591,2.9258461460898246,1.1314021114911006,-0.35726855193492835,1.3523967119770661,0.08586129060639225,0.16332646917493276,1.5976034547870976,0.40930584894330524
Pan,336.98166,81.91,50,339.27267,81.907714,50,1,240.41,81.91,50,237.297,81.907714,50,5.8268041203585605,5.469312521136772,5.82002850750648,5.482345799133678,0.01980889084898596,0.007051845589867349,-0.0014246407009599338,0.0016122405582905605,0.34757165926087286,0.0017627916835670208
Pansch-Kiel,6.545487284,0.699386533,8,6.5252424655,0.44669749750000004,8,1,4.217353826,0.3081241675,8,4.2789778685,0.39659562550000005,8,1.8756781119819628,1.4537141653016503,1.8787758479273984,1.4392078759161901,-0.01760402533089578,0.003753957618020427,0.003837265904939713,0.0010123779638350314,0.4307408550179437,9.406394796560927e-4
Pansch-Kiel,6.545487284,0.699386533,8,6.578435017,0.541252575,8,2,4.217353826,0.3081241675,8,4.247890298,0.268453002,8,1.8837968776872573,1.446422459218235,1.8787758479273984,1.4392078759161901,-0.0021935535421859775,0.0034397724676763384,0.005881133780840653,0.001019558515985812,0.4384678403168687,8.589182414106642e-4
Pansch-Tjarno,1.8448370065,0.19081075449999998,6,1.925839726,0.2206577535,6,1,1.4965430929999999,0.2862305265,6,1.4584734835,0.35385099800000003,6,0.6553620939215984,0.3773903294953019,0.6123909302295524,0.40315784375302344,0.06873867794976757,0.019878279368464563,0.012767068373063406,0.004297021384864589,0.24375022950580116,0.004951116669420574
Pansch-Tjarno,1.8448370065,0.19081075449999998,6,1.8294334700000001,0.2867585415,6,3,1.4965430929999999,0.2862305265,6,1.495010593,0.5360747915,6,0.6040063396888133,0.40213329243627594,0.6123909302295524,0.40315784375302344,-0.007360039223991532,0.033404144836893475,-0.005081464055943563,0.007340298915830374,0.20556172329543987,0.00834229030756569
Ramajo,0.016055,0.005684591,3,0.03335,0.005991164,3,1,0.009295,0.003994109,3,0.016656,0.007066767,3,-3.4006975066205043,-4.094984767109524,-4.131734951440659,-4.67827865780873,0.1477435541209493,0.17409857598106335,0.67936426819153,0.036478407509533954,0.6438414891320354,0.041928845947956934
Thomsen,1937.8544769085,332.1359095,7,1671.2788875,284.74561733850004,7,1,711.141338,177.77505,7,903.0528746465,188.50005,7,7.421344413233112,6.805781106128545,7.569336700316868,6.5668711976706655,-0.3869021955416354,0.02349534167330441,-0.028590639821520547,0.00540292301045155,0.804631785638608,0.0057799052820484455
Thomsen,1937.8544769085,332.1359095,7,1736.019839774,315.6247408105,7,2,711.141338,177.77505,7,732.445193214,131.70004999999998,7,7.459350323596236,6.596388516541097,7.569336700316868,6.5668711976706655,-0.13950369559106424,0.0224649129172539,-0.07058411708366386,0.005631404036317307,0.9341161136127321,0.005577465097085679
Thomsen,1937.8544769085,332.1359095,7,1690.042789821,338.881055608,7,3,711.141338,177.77505,7,650.3473138549999,37.35005,7,7.4325091270172985,6.477506549194462,7.569336700316868,6.5668711976706655,-0.04746292482336667,0.019339089445905854,-0.12386300396516425,0.005920743830814589,0.9800745170082603,0.004987006119120589
Towle,1.300913,0.313340607,10,1.32968,0.283017526,10,1,1.380822,0.272907724,10,1.006849,0.303230805,10,0.2849383117807176,0.006825652145180938,0.26306632565715843,0.32267897401268486,0.3377253079910631,0.02330824936927669,-0.1377974783089545,0.005552259949209641,0.09689088221452224,0.005495594755355167
