Data_entry_person,Observation_ID,study,Paper_no,Author,Year,Taxon,Taxon.big,"CO2 treatment (control, uatm)","CO2 treatment (elevated, uatm)",DeltaCO2,DeltapH,Unit,Treatment,CO2,Food.supply,Food.relative,Food.relative score,Mean,SE,SD_Ambient,95CI,N,,,,,,,,,,,
Norah,23,15,7,Comeau,2013,coral,coral,377,708.5,331.5,0.25,biomass (mg/cm2),AmbientLow,Ambient,Low,starvation,0,3.992958,0.492958,1.207495565,,6,,,,,,,,,,,
Norah,25,17,7,Comeau,2013,coral,coral,377,708.5,331.5,0.25,biomass (mg/cm2),AmbientHigh,Ambient,High,ad libitum,4,8.774648,0.985915,2.41498868,,6,,,,,,,,,,,
Norah,23,15,7,Comeau,2013,coral,coral,377,708.5,331.5,0.25,biomass (mg/cm2),ElevatedLow,Elevated,Low,starvation,0,4.190141,0.788732,1.931990944,,6,,,,,,,,,,,
Norah,25,17,7,Comeau,2013,coral,coral,377,708.5,331.5,0.25,biomass (mg/cm2),ElevatedHigh,Elevated,High,ad libitum,4,9.56338,2.267606,5.554477638,,6,,,,,,,,,,,
Norah,17,11,5,Crook_1,2013,coral,coral,410,770,360,0.24,volume (mm3),AmbientLow,Ambient,Low,low maintenance,1,8.62069,,1.293103,,34,,,,,,,,,,,
Norah,18,12,5,Crook_1,2013,coral,coral,410,770,360,0.24,volume (mm3),AmbientHigh,Ambient,High,plentiful,3,81.03448,,9.051724,,23,,,,,,,,,,,
Norah,17,11,5,Crook_1,2013,coral,coral,410,770,360,0.24,volume (mm3),ElevatedLow,Elevated,Low,low maintenance,1,7.758621,,0.862069,,38,,,,,,,,,,,
Norah,18,12,5,Crook_1,2013,coral,coral,410,770,360,0.24,volume (mm3),ElevatedHigh,Elevated,High,plentiful,3,78.87931,,7.758621,,23,,,,,,,,,,,
Norah,19,11,5,Crook_2,2013,coral,coral,410,1220,810,0.43,volume (mm3),AmbientLow,Ambient,Low,low maintenance,1,8.62069,,1.293103,,34,,,,,,,,,,,
Norah,20,12,5,Crook_2,2013,coral,coral,410,1220,810,0.43,volume (mm3),AmbientHigh,Ambient,High,plentiful,3,81.03448,,9.051724,,23,,,,,,,,,,,
Norah,19,11,5,Crook_2,2013,coral,coral,410,1220,810,0.43,volume (mm3),ElevatedLow,Elevated,Low,low maintenance,1,8.189655,,1.293103,,29,,,,,,,,,,,
Norah,20,12,5,Crook_2,2013,coral,coral,410,1220,810,0.43,volume (mm3),ElevatedHigh,Elevated,High,plentiful,3,84.91379,,5.603448,,22,,,,,,,,,,,
Norah,39,27,11,Drenkard,2013,Coral,coral,398,1278,880,0.4,septa diameter (um),AmbientLow,Ambient,Low,starvation,0,1385.96,,26.32,,3,,,,,,,,,,,Used LOW TEMP as control as in paper
Norah,40,28,11,Drenkard,2013,Coral,coral,443,1344,901,0.4,septa diameter (um),AmbientHigh,Ambient,High,fed,3,2132,,60.03,,3,,,,,,,,,,,
Norah,39,27,11,Drenkard,2013,Coral,coral,398,1278,880,0.4,septa diameter (um),ElevatedLow,Elevated,Low,starvation,0,1322,,42.39,,3,,,,,,,,,,,
Norah,40,28,11,Drenkard,2013,Coral,coral,443,1344,901,0.4,septa diameter (um),ElevatedHigh,Elevated,High,fed,3,2062,,44.19,,3,,,,,,,,,,,
Norah,21,13,6,Edmunds,2011,coral,coral,412.5,784.6,372.1,0.26,biomass (mg/cm2),AmbientLow,Ambient,Low,starvation,0,5.1796,,0.8204,,10,,,,,,,,,,,NB: should we use the metric dry weight here instead of size?? 
Norah,22,14,6,Edmunds,2011,coral,coral,412.5,784.6,372.1,0.26,biomass (mg/cm2),AmbientHigh,Ambient,High,ad libitum,4,6.951,,0.439,,10,,,,,,,,,,,NB: should we use the metric dry weight here instead of size?? 
Norah,21,13,6,Edmunds,2011,coral,coral,412.5,784.6,372.1,0.26,biomass (mg/cm2),ElevatedLow,Elevated,Low,starvation,0,5.098,,0.487,,10,,,,,,,,,,,NB: should we use the metric dry weight here instead of size?? 
Norah,22,14,6,Edmunds,2011,coral,coral,412.5,784.6,372.1,0.26,biomass (mg/cm2),ElevatedHigh,Elevated,High,ad libitum,4,7.561,,0.869,,10,,,,,,,,,,,NB: should we use the metric dry weight here instead of size?? 
